Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,50.500000,50.599998,50.240002,50.415001,47.239807,4557800
2015-05-05,50.215000,50.435001,50.130001,50.209999,47.047726,5104400
2015-05-06,50.134998,50.500000,49.840000,50.110001,46.954029,5396600
2015-05-07,50.224998,50.794998,50.009998,50.724998,47.530281,5526200
2015-05-08,51.145000,51.650002,51.145000,51.220001,47.994106,5534800
2015-05-11,51.209999,51.610001,51.044998,51.395000,48.158096,5339800
2015-05-12,50.990002,51.345001,50.799999,51.185001,47.961315,4676400
2015-05-13,51.345001,51.365002,50.895000,51.080002,47.862926,4508200
2015-05-14,51.470001,51.755001,51.154999,51.720001,48.462627,5433400
2015-05-15,51.825001,52.514999,51.685001,52.490002,49.184120,7865200
2015-05-18,52.555000,52.750000,52.209999,52.375000,49.076366,5045200
2015-05-19,52.310001,52.590000,52.174999,52.320000,49.024822,5971200
2015-05-20,52.459999,52.575001,52.105000,52.305000,49.010780,5399200
2015-05-21,52.435001,52.599998,52.119999,52.200001,48.912388,5455200
2015-05-22,52.605000,52.610001,52.020000,52.215000,48.926445,5654800
2015-05-26,52.215000,52.375000,51.590000,51.709999,48.453239,5691400
2015-05-27,51.740002,51.959999,51.154999,51.419998,48.181515,8896800
2015-05-28,51.115002,51.474998,50.755001,51.150002,48.190937,5781600
2015-05-29,51.150002,51.189999,50.520000,50.834999,47.894154,5562200
2015-06-01,50.884998,51.145000,50.724998,50.880001,47.936554,4944000
2015-06-02,50.900002,51.345001,50.750000,51.055000,48.101429,4974400
2015-06-03,51.145000,51.544998,50.884998,51.255001,48.289860,4766800
2015-06-04,51.029999,51.650002,50.810001,50.974998,48.026062,4467200
2015-06-05,50.750000,51.125000,50.564999,51.014999,48.063747,3791800
2015-06-08,50.799999,50.945000,50.689999,50.720001,47.785812,4314000
2015-06-09,50.744999,50.965000,50.389999,50.674999,47.743420,3476800
2015-06-10,50.915001,52.014999,50.830002,51.669998,48.680855,6270400
2015-06-11,52.544998,52.560001,51.735001,51.939999,48.935238,6178000
2015-06-12,51.775002,52.049999,51.605000,51.889999,48.888123,4133000
2015-06-15,51.549999,51.924999,51.365002,51.674999,48.685555,4902000
2015-06-16,51.740002,52.490002,51.720001,52.279999,49.255562,5034000
2015-06-17,52.369999,52.584999,52.040001,52.375000,49.345066,4072400
2015-06-18,52.525002,53.334999,52.505001,53.000000,49.933910,5690600
2015-06-19,53.014999,53.424999,52.970001,53.264999,50.183575,7285600
2015-06-22,53.430000,53.724998,53.325001,53.395000,50.306061,4186600
2015-06-23,53.599998,53.630001,53.410000,53.599998,50.499203,5934200
2015-06-24,53.599998,53.685001,53.020000,53.110001,50.037548,5056200
2015-06-25,53.404999,53.404999,52.334999,52.610001,49.566475,10811400
2015-06-26,54.185001,55.169998,54.185001,54.855000,51.681599,20287600
2015-06-29,54.634998,54.744999,53.830002,53.834999,50.720604,9005000
2015-06-30,54.424999,54.439999,53.900002,54.009998,50.885479,7531200
2015-07-01,54.474998,54.715000,54.294998,54.715000,51.549706,5924000
2015-07-02,54.955002,55.365002,54.544998,54.935001,51.756973,5900000
2015-07-06,54.544998,55.255001,54.505001,54.919998,51.742832,4991400
2015-07-07,55.040001,55.665001,54.529999,55.645000,52.425900,7207000
2015-07-08,55.110001,55.375000,54.500000,54.634998,51.474319,6733600
2015-07-09,55.119999,55.459999,54.595001,54.720001,51.554409,6168400
2015-07-10,55.264999,55.400002,54.500000,55.259998,52.063164,5159200
2015-07-13,55.619999,56.275002,55.400002,56.205002,52.953503,5047600
2015-07-14,56.419998,56.529999,55.959999,56.169998,52.920521,5561400
2015-07-15,56.000000,56.195000,55.845001,55.950001,52.713249,5016400
2015-07-16,56.380001,56.450001,55.924999,56.169998,52.920521,4334600
2015-07-17,56.185001,56.490002,55.950001,56.400002,53.137215,4545400
2015-07-20,56.634998,56.775002,56.410000,56.564999,53.292675,5978200
2015-07-21,56.490002,56.785000,56.360001,56.494999,53.226723,4626400
2015-07-22,56.435001,57.110001,56.435001,57.044998,53.744904,5954200
2015-07-23,57.250000,57.349998,56.904999,57.000000,53.702507,6714200
2015-07-24,57.090000,57.090000,56.235001,56.494999,53.226723,5967200
2015-07-27,56.200001,56.459999,55.474998,55.865002,52.633175,6648000
2015-07-28,56.035000,56.955002,55.924999,56.735001,53.452839,6948200
2015-07-29,56.790001,57.669998,56.750000,57.459999,54.135891,6839800
2015-07-30,57.474998,57.700001,56.970001,57.505001,54.178291,5594000
2015-07-31,57.750000,57.970001,57.415001,57.610001,54.277225,5078600
2015-08-03,57.755001,58.000000,56.794998,57.415001,54.093498,4992000
2015-08-04,57.474998,57.965000,57.165001,57.884998,54.536312,5229000
2015-08-05,58.305000,58.860001,58.174999,58.375000,54.997967,6853000
2015-08-06,58.500000,58.750000,57.185001,57.560001,54.230114,6211400
2015-08-07,57.360001,57.480000,56.549999,57.255001,53.942753,5907800
2015-08-10,57.695000,58.084999,57.424999,57.680000,54.343166,4613200
2015-08-11,57.070000,57.494999,56.814999,57.230000,53.919201,5107400
2015-08-12,56.770000,56.875000,55.325001,56.529999,53.259701,7127000
2015-08-13,56.634998,57.264999,56.474998,56.799999,53.514080,5907800
2015-08-14,56.794998,57.285000,56.555000,57.180000,53.872093,4685200
2015-08-17,57.060001,57.564999,56.544998,57.490002,54.164165,3917400
2015-08-18,57.560001,57.840000,57.294998,57.410000,54.088787,3669400
2015-08-19,57.000000,58.025002,56.775002,57.480000,54.154736,6216400
2015-08-20,56.855000,57.224998,56.119999,56.150002,52.901684,6536800
2015-08-21,55.735001,55.830002,53.419998,53.435001,50.343746,15912800
2015-08-24,50.130001,53.689999,47.250000,51.935001,48.930523,19882600
2015-08-25,53.639999,53.654999,51.740002,51.764999,48.770355,13616200
2015-08-26,53.250000,54.505001,51.990002,54.380001,51.234077,15156000
2015-08-27,55.185001,56.345001,54.814999,56.310001,53.052433,13617400
2015-08-28,56.299999,56.500000,55.820000,56.250000,52.995888,7526200
2015-08-31,56.195000,56.244999,55.615002,55.875000,52.642597,7073600
2015-09-01,54.490002,54.915001,54.014999,54.314999,51.172836,9385200
2015-09-02,55.075001,55.389999,54.599998,55.349998,52.147968,8536400
2015-09-03,55.615002,56.044998,55.205002,55.424999,52.484119,6065000
2015-09-04,54.610001,55.215000,54.470001,54.845001,51.934898,7126200
2015-09-08,55.730000,55.935001,55.110001,55.875000,52.910244,5511400
2015-09-09,56.355000,56.494999,54.805000,54.930000,52.015392,6349800
2015-09-10,54.830002,55.520000,54.470001,55.189999,52.261581,7363000
2015-09-11,55.115002,55.919998,54.994999,55.910000,52.943394,5589600
2015-09-14,55.755001,56.029999,55.570000,55.945000,52.976524,6833200
2015-09-15,55.950001,57.040001,55.400002,56.919998,53.899799,7699400
2015-09-16,57.165001,57.955002,56.919998,57.790001,54.723640,8104400
2015-09-17,57.619999,58.395000,57.279999,57.634998,54.576855,8062600
2015-09-18,57.075001,57.814999,56.880001,57.525002,54.472698,18615000
2015-09-21,57.834999,58.544998,57.380001,58.279999,55.187641,8746600
2015-09-22,57.625000,58.080002,57.189999,57.985001,54.908287,7555400
2015-09-23,57.985001,58.299999,57.599998,57.715000,54.652618,9055800
2015-09-24,57.150002,57.575001,56.750000,57.395000,54.349594,14352600
2015-09-25,61.564999,62.974998,61.349998,62.500000,59.183720,36968200
2015-09-28,62.250000,62.380001,60.424999,61.070000,57.829597,16450800
2015-09-29,61.000000,61.044998,59.525002,59.834999,56.660130,14414400
2015-09-30,60.369999,61.560001,60.369999,61.485001,58.222576,9437800
2015-10-01,61.580002,61.970001,60.639999,61.915001,58.629761,8994200
2015-10-02,61.044998,62.605000,60.779999,62.605000,59.283150,9114400
2015-10-05,62.919998,63.244999,62.044998,62.134998,58.838097,9646400
2015-10-06,62.134998,62.400002,61.294998,61.595001,58.326736,7665400
2015-10-07,61.805000,62.224998,60.500000,61.049999,57.810669,10215400
2015-10-08,61.459999,62.619999,61.334999,62.455002,59.141113,7622600
2015-10-09,62.279999,62.669998,62.044998,62.470001,59.155319,6940600
2015-10-12,62.599998,63.549999,62.509998,63.215000,59.860775,5449000
2015-10-13,63.000000,63.270000,62.794998,62.904999,59.567234,6355400
2015-10-14,62.994999,63.305000,62.695000,62.919998,59.581429,6509000
2015-10-15,63.610001,64.584999,63.480000,64.394997,60.978168,10764800
2015-10-16,64.750000,65.294998,64.434998,65.235001,61.773613,9321600
2015-10-19,65.855003,66.760002,65.555000,66.605003,63.070923,12587800
2015-10-20,66.525002,66.680000,65.985001,66.184998,62.673195,9104200
2015-10-21,66.324997,66.610001,65.915001,66.235001,62.720547,5504000
2015-10-22,66.434998,66.724998,65.290001,66.205002,62.692139,9294800
2015-10-23,66.535004,66.599998,64.455002,65.264999,61.802021,10517800
2015-10-26,65.135002,66.114998,65.135002,65.690002,62.204464,6882800
2015-10-27,65.500000,65.620003,64.830002,65.410004,61.939323,6150000
2015-10-28,65.860001,66.025002,64.964996,65.644997,62.161850,7091400
2015-10-29,65.339996,65.735001,64.980003,65.559998,62.081352,4959000
2015-10-30,65.775002,65.809998,65.035004,65.514999,62.038742,7230800
2015-11-02,65.864998,66.000000,64.730003,65.595001,62.114491,6123200
2015-11-03,65.620003,65.849998,65.339996,65.699997,62.213924,5492000
2015-11-04,65.695000,65.934998,64.940002,65.180000,61.721527,5190200
2015-11-05,65.589996,66.220001,65.230003,65.930000,62.431728,5068200
2015-11-06,65.800003,66.470001,65.680000,65.889999,62.393841,4837600
2015-11-09,65.625000,65.709999,64.635002,65.239998,61.778328,6181200
2015-11-10,65.044998,65.345001,64.764999,65.000000,61.551071,5287400
2015-11-11,65.139999,65.294998,63.639999,63.709999,60.329517,8578000
2015-11-12,63.500000,64.000000,62.705002,62.990002,59.647728,9388000
2015-11-13,62.540001,62.610001,60.575001,60.930000,57.697029,16371000
2015-11-16,60.900002,61.740002,60.669998,61.730000,58.454578,9146400
2015-11-17,61.525002,61.799999,60.209999,61.290001,58.037914,10581600
2015-11-18,61.520000,63.014999,61.330002,62.889999,59.553024,10597800
2015-11-19,63.130001,63.494999,62.689999,62.889999,59.553024,8557600
2015-11-20,66.035004,66.400002,65.239998,66.324997,62.805771,19064800
2015-11-23,66.410004,66.500000,65.889999,66.230003,62.715797,7135600
2015-11-24,65.815002,66.489998,65.629997,66.254997,62.739475,5311600
2015-11-25,66.540001,67.275002,66.514999,67.065002,63.506519,6989000
2015-11-27,67.459999,67.650002,66.665001,67.165001,63.601204,4527800
2015-11-30,66.964996,67.095001,65.820000,66.139999,62.630573,8738800
2015-12-01,66.059998,66.709999,65.959999,66.654999,63.118240,6857000
2015-12-02,66.425003,66.610001,66.050003,66.324997,62.805771,7965600
2015-12-03,66.555000,66.680000,64.500000,64.559998,61.134415,10649800
2015-12-04,64.900002,66.459999,64.900002,66.165001,62.654251,7410400
2015-12-07,66.375000,66.449997,65.305000,65.800003,62.611450,6190000
2015-12-08,65.434998,66.370003,65.214996,65.849998,62.659012,5605800
2015-12-09,65.379997,65.769997,63.869999,64.419998,61.298313,7442800
2015-12-10,64.360001,64.820000,64.004997,64.320000,61.203148,5682600
2015-12-11,63.810001,63.869999,62.834999,63.145000,60.085098,8276000
2015-12-14,63.314999,64.165001,63.060001,63.930000,60.832054,7991400
2015-12-15,64.800003,65.000000,64.175003,64.305000,61.188885,6869600
2015-12-16,64.684998,65.599998,64.410004,65.464996,62.292671,7542200
2015-12-17,65.849998,65.925003,65.035004,65.110001,61.954868,7400800
2015-12-18,64.864998,65.264999,64.184998,64.260002,61.146061,13804600
2015-12-21,64.839996,65.154999,64.305000,64.900002,61.755054,8972600
2015-12-22,65.739998,65.925003,64.910004,65.925003,62.730392,17218400
2015-12-23,68.120003,68.195000,63.910000,64.355003,61.236450,57319400
2015-12-24,64.550003,64.730003,62.150002,63.180000,60.118404,13889100
2015-12-28,63.209999,63.880001,62.799999,63.810001,60.717869,8786800
